Issue Type,Epic Name,Summary,Description,Priority,Story Points,Sprint,Assignee,Component,Epic Link
Epic,S1-EP01: Gestión de Identidad y Acceso,[Sprint 1] EP-01: Gestión de Identidad y Acceso Seguro,"Épica de cimientos para el registro, activación, autenticación y recuperación de credenciales en el sistema.",Highest,,Sprint 1,Walter Celada,Seguridad e Identidad,
Story,,HU-001: Registro de cuenta de usuario postulante con verificación por correo,"h3. Resumen del Requerimiento
Permitir a los estudiantes aspirantes a becas registrar una cuenta individual validando su CUI (13 dígitos) y correo electrónico.

h3. Historia de Usuario
*Como* postulante o aspirante a beca,
*Quiero* registrar una cuenta en la plataforma utilizando mi CUI y correo electrónico,
*Para* acceder de forma segura a las convocatorias y gestionar mis solicitudes.

h3. Criterios de Aceptación (Gherkin)
*Escenario 1: Registro Exitoso*
* *Dado* que el usuario está en el formulario de registro y no tiene una cuenta previa,
* *Cuando* ingresa un CUI válido de 13 dígitos, nombres, correo no registrado y contraseña que cumple las políticas,
* *Entonces* el sistema crea la cuenta en estado 'Pendiente de Activación' y despacha un correo con enlace de 24h.

*Escenario 2: Validación de CUI o Correo Duplicado (RB-001)*
* *Dado* que un CUI o correo ya existe en el sistema,
* *Cuando* se intenta registrar nuevamente,
* *Entonces* el sistema bloquea el registro e informa que la cuenta ya existe.

h3. Validación QA
Verificar algoritmo módulo 11 del CUI, hasheo Argon2id de contraseñas y entrega del correo transaccional en buzón.

h3. Reglas de Negocio
* RB-001: Unicidad de cuenta por CUI.
* RB-002: Políticas de contraseñas y activación obligatoria.",Highest,3,Sprint 1,Walter Celada,Seguridad e Identidad,S1-EP01: Gestión de Identidad y Acceso
Story,,HU-002: Autenticación y control de sesión segura con protección anti-fuerza bruta,"h3. Resumen del Requerimiento
Autenticar usuarios mediante CUI/correo y contraseña, bloqueando temporalmente accesos tras 5 intentos fallidos consecutivos.

h3. Historia de Usuario
*Como* usuario registrado,
*Quiero* iniciar sesión de manera segura con mis credenciales,
*Para* acceder a las funcionalidades correspondientes a mi rol.

h3. Criterios de Aceptación (Gherkin)
*Escenario 1: Inicio de Sesión Exitoso*
* *Dado* un usuario activo con credenciales correctas,
* *Cuando* ingresa usuario y contraseña válidos,
* *Entonces* el sistema emite token JWT (30 min) y redirige al panel según rol.

*Escenario 2: Bloqueo Anti-Fuerza Bruta (RB-002)*
* *Dado* una cuenta activa,
* *Cuando* se registran 5 intentos fallidos consecutivos,
* *Entonces* la cuenta se bloquea temporalmente por 15 minutos.

h3. Validación QA
Comprobar tiempo de vida de token JWT (30 min), invalidación de sesión por inactividad y registro en log de seguridad.",Highest,3,Sprint 1,Walter Celada,Seguridad e Identidad,S1-EP01: Gestión de Identidad y Acceso
Story,,HU-003: Recuperación segura de credenciales mediante token temporal de un solo uso,"h3. Resumen del Requerimiento
Permitir a los usuarios restablecer su contraseña olvidada mediante un enlace seguro temporal por correo (15 min).

h3. Historia de Usuario
*Como* usuario que ha olvidado su contraseña,
*Quiero* solicitar un enlace de restablecimiento seguro a mi correo,
*Para* recuperar el acceso a mi cuenta sin intervención administrativa.

h3. Criterios de Aceptación (Gherkin)
*Escenario 1: Solicitud y Uso de Token Válido*
* *Dado* un usuario con correo registrado,
* *Cuando* solicita restablecer clave y abre el enlace antes de 15 minutos,
* *Entonces* puede definir una nueva clave que cumpla las políticas.

*Escenario 2: Token Expirado o Reutilizado*
* *Dado* un enlace con más de 15 minutos o ya usado,
* *Cuando* el usuario intenta utilizarlo,
* *Entonces* el sistema rechaza la petición por expiración.",High,2,Sprint 1,Javier Alvizures,Seguridad e Identidad,S1-EP01: Gestión de Identidad y Acceso
Epic,S1-EP02: Configuración y Administración del Sistema,[Sprint 1] EP-02: Configuración y Administración del Sistema,Mantenimiento y parametrización de catálogos maestros y variables base del sistema.,Highest,,Sprint 1,Raúl Álvarez,Configuración del Sistema,
Story,,HU-004: Gestión de catálogos base del sistema con soporte de borrado lógico,"h3. Resumen del Requerimiento
Parametrizar catálogos maestros (departamentos, municipios, niveles educativos, tipos de beca) con preservación histórica.

h3. Historia de Usuario
*Como* Administrador Técnico (SysAdmin),
*Quiero* administrar los catálogos maestros de datos,
*Para* mantener actualizada la información base sin modificar código fuente.

h3. Criterios de Aceptación (Gherkin)
*Escenario 1: Creación de Catálogo*
* *Dado* el SysAdmin autenticado,
* *Cuando* crea un nuevo elemento con código único,
* *Entonces* queda disponible inmediatamente en las listas desplegables.

*Escenario 2: Borrado Lógico (RB-025)*
* *Dado* un elemento referenciado históricamente,
* *Cuando* se deshabilita,
* *Entonces* se marca es_activo=FALSE sin borrado físico.",Highest,3,Sprint 1,Raúl Álvarez,Configuración del Sistema,S1-EP02: Configuración y Administración del Sistema
Epic,S1-EP03: Seguridad y Control de Acceso Granular,[Sprint 1] EP-03: Seguridad y Control de Acceso Granular (RBAC),Control de acceso basado en roles y aislamiento estricto de endpoints de la API.,Highest,,Sprint 1,Walter Celada,Seguridad e Identidad,
Story,,HU-005: Control de acceso basado en roles (RBAC) y aislamiento de endpoints,"h3. Resumen del Requerimiento
Asignar roles y proteger endpoints de la API mediante middleware de autorización con principio de menor privilegio.

h3. Historia de Usuario
*Como* Administrador del Sistema,
*Quiero* asignar roles y validar permisos en cada petición HTTP,
*Para* garantizar que los usuarios solo accedan a los recursos permitidos.

h3. Criterios de Aceptación (Gherkin)
*Escenario 1: Acceso No Autorizado (RB-026)*
* *Dado* un usuario sin el rol requerido,
* *Cuando* intenta invocar un endpoint protegido,
* *Entonces* el sistema responde HTTP 403 Forbidden y registra en auditoría.

*Escenario 2: Asignación de Roles por SysAdmin*
* *Dado* el SysAdmin autenticado,
* *Cuando* asigna un rol a un usuario,
* *Entonces* los permisos se aplican de inmediato en la siguiente petición.",Highest,5,Sprint 1,Walter Celada,Seguridad e Identidad,S1-EP03: Seguridad y Control de Acceso Granular
Epic,S2-EP01: Gestión del Perfil del Estudiante,[Sprint 2] EP-01: Gestión del Perfil del Estudiante,"Gestión de ficha de datos personales, socioeconómicos y académicos.",Highest,,Sprint 2,Daniel Ericastilla,Perfil Estudiante,
Story,,HU-001: Gestión del perfil socioeconómico y académico del estudiante,Permitir al estudiante completar y mantener actualizada su ficha socioeconómica y académica con validaciones de rangos de ingreso y promedio.,Highest,5,Sprint 2,Daniel Ericastilla,Perfil Estudiante,S2-EP01: Gestión del Perfil del Estudiante
